Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;


18;"Aurich - Emden";3;190987;;;;;;;;;;;;;;;;;;43026;;;;58080;;;;4323;;;;6588;;;;11028;;;;;;;;1900;;;;1259;;;;1065;;;;110;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;35;;;;;;;;;;;;4136;;;;;;;;109;;;;;;;;;;;;713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;"Unterems";3;232784;;;;;;;;;;;;;;;;;;80616;;;;51079;;;;6537;;;;6771;;;;9506;;;;;;;;2218;;;;1339;;;;1070;;;;91;;;;;;;;;;;;;;;;;;;;;;;;281;;;;;;;;;;;;24;;;;;;;;;;;;4870;;;;;;;;165;;;;;;;;;;;;747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;"Friesland - Wilhelmshaven - Wittmund";3;190034;;;;;;;;;;;;;;;;;;50796;;;;48011;;;;5670;;;;6814;;;;9731;;;;;;;;2007;;;;1206;;;;1194;;;;87;;;;;;;;;;;;;;;;;;;;;;;;82;;;;;;;;;;;;70;;;;;;;;;;;;5479;;;;;;;;149;;;;;;;;;;;;1106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;"Oldenburg - Ammerland";3;220409;;;;;;;;;;;;;;;;;;57067;;;;52856;;;;8210;;;;10523;;;;20170;;;;;;;;2853;;;;1050;;;;1308;;;;54;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;62;;;;;;;;;;;;6833;;;;;;;;100;;;;;;;;;;;;923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;"Delmenhorst - Wesermarsch - Oldenburg-Land";3;227719;;;;;;;;;;;;;;;;;;62620;;;;54848;;;;8035;;;;8814;;;;13059;;;;;;;;2577;;;;1612;;;;1390;;;;97;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;41;;;;;;;;;;;;6359;;;;;;;;183;;;;;;;;;;;;1072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;"Cuxhaven - Stade II";3;187640;;;;;;;;;;;;;;;;;;59699;;;;45534;;;;4924;;;;6241;;;;9592;;;;;;;;1968;;;;1270;;;;1074;;;;43;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;42;;;;;;;;;;;;4753;;;;;;;;140;;;;;;;;;;;;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;"Stade I - Rotenburg II";3;194958;;;;;;;;;;;;;;;;;;64472;;;;44598;;;;6023;;;;6021;;;;11209;;;;;;;;2131;;;;1302;;;;979;;;;54;;;;;;;;;;;;;;;;;;;;;;;;119;;;;;;;;;;;;17;;;;;;;;;;;;6531;;;;;;;;108;;;;;;;;;;;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;"Mittelems";3;228051;;;;;;;;;;;;;;;;;;94923;;;;44069;;;;7032;;;;5107;;;;9160;;;;;;;;2456;;;;790;;;;767;;;;48;;;;;;;;;;;;;;;;;;;;;;;;114;;;;;;;;;;;;20;;;;;;;;;;;;4331;;;;;;;;136;;;;;;;;;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"Cloppenburg - Vechta";3;216300;;;;;;;;;;;;;;;;;;96401;;;;30168;;;;7073;;;;4259;;;;6488;;;;;;;;1816;;;;877;;;;681;;;;51;;;;;;;;;;;;;;;;;;;;;;;;250;;;;;;;;;;;;21;;;;;;;;;;;;3576;;;;;;;;104;;;;;;;;;;;;799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
