Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
;;zu;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;Erststimmen;;Zweitstimmen;;

104;"Herne - Bochum II";5;184009;;;;;;;;;;;;;;;;;;35149;;;;54876;;;;3528;;;;10162;;;;8275;;;;;;;;3078;;;;2225;;;;;;;;439;;;;156;;;;;;;;89;;;;;;;;;;;;;;;;24;;;;;;;;198;;;;267;;;;40;;;;4949;;;;224;;;;463;;;;54;;;;;;;;217;;;;152;;;;88;;;;480;;;;;;;;;;;;;;;;;;;;;;
105;"Dortmund I";5;213946;;;;;;;;;;;;;;;;;;42712;;;;56180;;;;6107;;;;11653;;;;15827;;;;;;;;4078;;;;1894;;;;;;;;157;;;;172;;;;;;;;136;;;;;;;;;;;;;;;;27;;;;;;;;154;;;;304;;;;32;;;;6060;;;;158;;;;243;;;;125;;;;;;;;437;;;;161;;;;137;;;;731;;;;;;;;;;;;;;;;;;;;;;
106;"Dortmund II";5;206701;;;;;;;;;;;;;;;;;;39604;;;;55683;;;;5139;;;;10568;;;;11328;;;;;;;;3322;;;;1894;;;;;;;;160;;;;125;;;;;;;;81;;;;;;;;;;;;;;;;21;;;;;;;;71;;;;297;;;;33;;;;5571;;;;241;;;;311;;;;50;;;;;;;;609;;;;129;;;;122;;;;643;;;;;;;;;;;;;;;;;;;;;;
107;"Unna I";5;200068;;;;;;;;;;;;;;;;;;46794;;;;60019;;;;5850;;;;9127;;;;11567;;;;;;;;3189;;;;1505;;;;;;;;139;;;;125;;;;;;;;83;;;;;;;;;;;;;;;;40;;;;;;;;55;;;;309;;;;31;;;;5525;;;;172;;;;362;;;;29;;;;;;;;882;;;;141;;;;114;;;;557;;;;;;;;;;;;;;;;;;;;;;
108;"Hamm - Unna II";5;238091;;;;;;;;;;;;;;;;;;60984;;;;63646;;;;6153;;;;10399;;;;9990;;;;;;;;3465;;;;2064;;;;;;;;281;;;;123;;;;;;;;76;;;;;;;;;;;;;;;;21;;;;;;;;66;;;;298;;;;33;;;;5523;;;;236;;;;457;;;;92;;;;;;;;683;;;;129;;;;118;;;;555;;;;;;;;;;;;;;;;;;;;;;
109;"Soest";5;232311;;;;;;;;;;;;;;;;;;74380;;;;50439;;;;8218;;;;8721;;;;11565;;;;;;;;3410;;;;1321;;;;;;;;180;;;;204;;;;;;;;86;;;;;;;;;;;;;;;;32;;;;;;;;25;;;;333;;;;52;;;;5711;;;;91;;;;330;;;;59;;;;;;;;229;;;;192;;;;101;;;;467;;;;;;;;;;;;;;;;;;;;;;
110;"Hochsauerlandkreis";5;205948;;;;;;;;;;;;;;;;;;74530;;;;42054;;;;7625;;;;7055;;;;7161;;;;;;;;2940;;;;1269;;;;;;;;160;;;;173;;;;;;;;85;;;;;;;;;;;;;;;;20;;;;;;;;22;;;;319;;;;39;;;;5140;;;;43;;;;278;;;;22;;;;;;;;533;;;;131;;;;88;;;;359;;;;;;;;;;;;;;;;;;;;;;
111;"Siegen-Wittgenstein";5;215751;;;;;;;;;;;;;;;;;;64307;;;;49563;;;;7327;;;;8920;;;;9937;;;;;;;;2722;;;;1759;;;;;;;;269;;;;286;;;;;;;;55;;;;;;;;;;;;;;;;22;;;;;;;;41;;;;312;;;;35;;;;7653;;;;406;;;;312;;;;30;;;;;;;;243;;;;146;;;;101;;;;450;;;;;;;;;;;;;;;;;;;;;;
112;"Olpe - Märkischer Kreis I";5;210836;;;;;;;;;;;;;;;;;;71437;;;;42002;;;;7694;;;;7113;;;;7726;;;;;;;;2708;;;;1574;;;;;;;;188;;;;193;;;;;;;;84;;;;;;;;;;;;;;;;27;;;;;;;;22;;;;312;;;;44;;;;6151;;;;117;;;;275;;;;20;;;;;;;;505;;;;134;;;;101;;;;488;;;;;;;;;;;;;;;;;;;;;;
113;"Märkischer Kreis II";5;206189;;;;;;;;;;;;;;;;;;59536;;;;46318;;;;6431;;;;8463;;;;7971;;;;;;;;3284;;;;1620;;;;;;;;284;;;;145;;;;;;;;119;;;;;;;;;;;;;;;;18;;;;;;;;47;;;;363;;;;31;;;;7122;;;;147;;;;317;;;;27;;;;;;;;389;;;;194;;;;109;;;;625;;;;;;;;;;;;;;;;;;;;;;
5;"Nordrhein-Westfalen";99;13253554;

114;"Waldeck";6;189728;;;;;;;;;;;;;;;;;;49063;;;;48420;;;;6452;;;;7356;;;;10872;;;;;;;;2242;;;;1159;;;;;;;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;33;;;;;;;;71;;;;6774;;;;;;;;152;;;;;;;;;;;;1013;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;;;;;
115;"Kassel";6;224555;;;;;;;;;;;;;;;;;;48361;;;;53232;;;;6259;;;;13680;;;;19884;;;;;;;;3575;;;;1218;;;;;;;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;165;;;;;;;;89;;;;7977;;;;;;;;155;;;;;;;;;;;;839;;;;;;;;;;;;796;;;;;;;;;;;;;;;;;;;;;;
116;"Werra-Meißner - Hersfeld-Rotenburg";6;180203;;;;;;;;;;;;;;;;;;45872;;;;46913;;;;5014;;;;7584;;;;8868;;;;;;;;1954;;;;2013;;;;;;;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;41;;;;;;;;55;;;;7096;;;;;;;;136;;;;;;;;;;;;961;;;;;;;;;;;;521;;;;;;;;;;;;;;;;;;;;;;
117;"Schwalm-Eder";6;191354;;;;;;;;;;;;;;;;;;48747;;;;50052;;;;6362;;;;7442;;;;10498;;;;;;;;2306;;;;1532;;;;;;;;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;;32;;;;;;;;58;;;;7394;;;;;;;;162;;;;;;;;;;;;1592;;;;;;;;;;;;529;;;;;;;;;;;;;;;;;;;;;;
118;"Marburg";6;184686;;;;;;;;;;;;;;;;;;46993;;;;42749;;;;5111;;;;8720;;;;13443;;;;;;;;2206;;;;1034;;;;;;;;313;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;26;;;;;;;;62;;;;5858;;;;;;;;109;;;;;;;;;;;;593;;;;;;;;;;;;645;;;;;;;;;;;;;;;;;;;;;;
119;"Lahn-Dill";6;210867;;;;;;;;;;;;;;;;;;59760;;;;43406;;;;6323;;;;7433;;;;10600;;;;;;;;2533;;;;2253;;;;;;;;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;37;;;;;;;;63;;;;8315;;;;;;;;213;;;;;;;;;;;;1250;;;;;;;;;;;;566;;;;;;;;;;;;;;;;;;;;;;
120;"Gießen";6;215246;;;;;;;;;;;;;;;;;;59062;;;;45299;;;;7553;;;;9928;;;;14759;;;;;;;;3268;;;;1977;;;;;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;59;;;;;;;;84;;;;7444;;;;;;;;183;;;;;;;;;;;;1982;;;;;;;;;;;;759;;;;;;;;;;;;;;;;;;;;;;
121;"Fulda";6;209960;;;;;;;;;;;;;;;;;;76778;;;;33218;;;;7313;;;;6900;;;;10058;;;;;;;;2715;;;;2190;;;;;;;;414;;;;;;;;;;;;;;;;;;;;;;;;;;;;64;;;;;;;;25;;;;;;;;71;;;;8711;;;;;;;;162;;;;;;;;;;;;1033;;;;;;;;;;;;578;;;;;;;;;;;;;;;;;;;;;;
122;"Main-Kinzig - Wetterau II - Schotten";6;180491;;;;;;;;;;;;;;;;;;52305;;;;35313;;;;6516;;;;6934;;;;9720;;;;;;;;2666;;;;2662;;;;;;;;487;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;;25;;;;;;;;74;;;;8098;;;;;;;;187;;;;;;;;;;;;1325;;;;;;;;;;;;630;;;;;;;;;;;;;;;;;;;;;;
123;"Hochtaunus";6;182026;;;;;;;;;;;;;;;;;;58822;;;;33846;;;;10334;;;;6358;;;;12690;;;;;;;;2266;;;;1024;;;;;;;;469;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;18;;;;;;;;38;;;;9447;;;;;;;;134;;;;;;;;;;;;876;;;;;;;;;;;;510;;;;;;;;;;;;;;;;;;;;;;
124;"Wetterau I";6;175085;;;;;;;;;;;;;;;;;;52419;;;;34937;;;;7586;;;;6615;;;;11991;;;;;;;;2535;;;;1860;;;;;;;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;23;;;;;;;;57;;;;7608;;;;;;;;170;;;;;;;;;;;;1440;;;;;;;;;;;;604;;;;;;;;;;;;;;;;;;;;;;
125;"Rheingau-Taunus - Limburg";6;220668;;;;;;;;;;;;;;;;;;73599;;;;40718;;;;10139;;;;7290;;;;13955;;;;;;;;2884;;;;1476;;;;;;;;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;42;;;;;;;;67;;;;9469;;;;;;;;189;;;;;;;;;;;;1126;;;;;;;;;;;;611;;;;;;;;;;;;;;;;;;;;;;
126;"Wiesbaden";6;189698;;;;;;;;;;;;;;;;;;50187;;;;36041;;;;8801;;;;7668;;;;15133;;;;;;;;2531;;;;865;;;;;;;;352;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;;;;;;;;52;;;;;;;;38;;;;6550;;;;;;;;124;;;;;;;;;;;;665;;;;;;;;;;;;525;;;;;;;;;;;;;;;;;;;;;;
127;"Hanau";6;177413;;;;;;;;;;;;;;;;;;48828;;;;35650;;;;6611;;;;7630;;;;11183;;;;;;;;2549;;;;1899;;;;;;;;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;28;;;;;;;;65;;;;7356;;;;;;;;212;;;;;;;;;;;;847;;;;;;;;;;;;876;;;;;;;;;;;;;;;;;;;;;;
128;"Main-Taunus";6;196605;;;;;;;;;;;;;;;;;;66598;;;;34156;;;;13100;;;;6406;;;;15057;;;;;;;;2773;;;;1003;;;;;;;;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;35;;;;;;;;63;;;;10470;;;;;;;;159;;;;;;;;;;;;1212;;;;;;;;;;;;549;;;;;;;;;;;;;;;;;;;;;;
129;"Frankfurt am Main I";6;195615;;;;;;;;;;;;;;;;;;43883;;;;35106;;;;9209;;;;11684;;;;17398;;;;;;;;3117;;;;949;;;;;;;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;56;;;;;;;;62;;;;6983;;;;;;;;133;;;;;;;;;;;;904;;;;;;;;;;;;869;;;;;;;;;;;;;;;;;;;;;;
130;"Frankfurt am Main II";6;219357;;;;;;;;;;;;;;;;;;53198;;;;41360;;;;10979;;;;12778;;;;24165;;;;;;;;3426;;;;930;;;;;;;;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;;;;;;;;54;;;;;;;;69;;;;7669;;;;;;;;125;;;;;;;;;;;;932;;;;;;;;;;;;1006;;;;;;;;;;;;;;;;;;;;;;
131;"Groß-Gerau";6;174002;;;;;;;;;;;;;;;;;;45389;;;;37781;;;;5762;;;;7693;;;;13129;;;;;;;;2989;;;;1430;;;;;;;;509;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;76;;;;;;;;61;;;;6939;;;;;;;;200;;;;;;;;;;;;1036;;;;;;;;;;;;643;;;;;;;;;;;;;;;;;;;;;;
132;"Offenbach";6;221650;;;;;;;;;;;;;;;;;;59905;;;;40203;;;;9836;;;;10205;;;;16503;;;;;;;;3627;;;;1663;;;;;;;;626;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;40;;;;;;;;75;;;;8994;;;;;;;;224;;;;;;;;;;;;1461;;;;;;;;;;;;839;;;;;;;;;;;;;;;;;;;;;;
133;"Darmstadt";6;240017;;;;;;;;;;;;;;;;;;61677;;;;50416;;;;8945;;;;11866;;;;25149;;;;;;;;5508;;;;1354;;;;;;;;303;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;;;;;;;96;;;;;;;;77;;;;9169;;;;;;;;154;;;;;;;;;;;;933;;;;;;;;;;;;991;;;;;;;;;;;;;;;;;;;;;;
134;"Odenwald";6;234360;;;;;;;;;;;;;;;;;;70211;;;;48252;;;;8964;;;;9459;;;;15560;;;;;;;;4034;;;;2035;;;;;;;;764;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;76;;;;;;;;83;;;;9864;;;;;;;;289;;;;;;;;;;;;1307;;;;;;;;;;;;833;;;;;;;;;;;;;;;;;;;;;;
135;"Bergstraße";6;199685;;;;;;;;;;;;;;;;;;61337;;;;39838;;;;7975;;;;7025;;;;12520;;;;;;;;2951;;;;1589;;;;;;;;617;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;;;;;;;;32;;;;;;;;62;;;;8134;;;;;;;;182;;;;;;;;;;;;1602;;;;;;;;;;;;628;;;;;;;;;;;;;;;;;;;;;;
6;"Hessen";99;4413271;

136;"Neuwied";7;240333;;;;;;;;;;;;;;;;;;78005;;;;48866;;;;8023;;;;8965;;;;10661;;;;;;;;3249;;;;1610;;;;;;;;262;;;;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;8759;;;;;;;;355;;;;;;;;;;;;1657;;;;;;;;354;;;;;;;;;;;;;;;;;;;;;;;;;;
137;"Ahrweiler";7;195077;;;;;;;;;;;;;;;;;;68680;;;;34660;;;;7897;;;;6569;;;;9287;;;;;;;;2920;;;;1067;;;;;;;;212;;;;555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;7328;;;;;;;;261;;;;;;;;;;;;929;;;;;;;;261;;;;;;;;;;;;;;;;;;;;;;;;;;
138;"Koblenz";7;198113;;;;;;;;;;;;;;;;;;63427;;;;38221;;;;7595;;;;7358;;;;10853;;;;;;;;3073;;;;938;;;;;;;;176;;;;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;6625;;;;;;;;282;;;;;;;;;;;;1714;;;;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;;
139;"Mosel/Rhein-Hunsrück";7;175441;;;;;;;;;;;;;;;;;;62703;;;;31202;;;;7948;;;;6139;;;;7257;;;;;;;;2352;;;;1057;;;;;;;;160;;;;477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;5323;;;;;;;;282;;;;;;;;;;;;1698;;;;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;;
140;"Kreuznach";7;187473;;;;;;;;;;;;;;;;;;53335;;;;40708;;;;7236;;;;7485;;;;8221;;;;;;;;2394;;;;1434;;;;;;;;210;;;;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;6180;;;;;;;;288;;;;;;;;;;;;1745;;;;;;;;283;;;;;;;;;;;;;;;;;;;;;;;;;;
141;"Bitburg";7;166313;;;;;;;;;;;;;;;;;;61192;;;;26189;;;;7136;;;;5134;;;;7165;;;;;;;;2159;;;;904;;;;;;;;135;;;;305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;4264;;;;;;;;176;;;;;;;;;;;;1925;;;;;;;;550;;;;;;;;;;;;;;;;;;;;;;;;;;
142;"Trier";7;193803;;;;;;;;;;;;;;;;;;60909;;;;36410;;;;6841;;;;8688;;;;13157;;;;;;;;3508;;;;1043;;;;;;;;136;;;;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;5736;;;;;;;;173;;;;;;;;;;;;1289;;;;;;;;268;;;;;;;;;;;;;;;;;;;;;;;;;;
143;"Montabaur";7;211010;;;;;;;;;;;;;;;;;;69119;;;;42500;;;;7994;;;;7724;;;;9646;;;;;;;;3104;;;;1705;;;;;;;;279;;;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;;;;;;;;;;;;7831;;;;;;;;300;;;;;;;;;;;;1945;;;;;;;;316;;;;;;;;;;;;;;;;;;;;;;;;;;
144;"Mainz";7;256317;;;;;;;;;;;;;;;;;;74392;;;;51614;;;;12688;;;;10652;;;;25339;;;;;;;;4799;;;;1060;;;;;;;;561;;;;1314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;;8815;;;;;;;;339;;;;;;;;;;;;1422;;;;;;;;486;;;;;;;;;;;;;;;;;;;;;;;;;;
145;"Worms";7;201931;;;;;;;;;;;;;;;;;;57620;;;;43670;;;;8657;;;;7398;;;;12267;;;;;;;;3138;;;;2116;;;;;;;;544;;;;497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;8188;;;;;;;;269;;;;;;;;;;;;1595;;;;;;;;358;;;;;;;;;;;;;;;;;;;;;;;;;;
146;"Ludwigshafen/Frankenthal";7;217129;;;;;;;;;;;;;;;;;;59425;;;;45001;;;;7952;;;;8538;;;;11042;;;;;;;;3878;;;;2177;;;;;;;;1801;;;;283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;9224;;;;;;;;348;;;;;;;;;;;;2162;;;;;;;;441;;;;;;;;;;;;;;;;;;;;;;;;;;
147;"Neustadt - Speyer";7;220643;;;;;;;;;;;;;;;;;;71072;;;;41982;;;;9337;;;;7871;;;;13915;;;;;;;;3660;;;;1778;;;;;;;;943;;;;427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;;;;;;;;;7995;;;;;;;;332;;;;;;;;;;;;2835;;;;;;;;611;;;;;;;;;;;;;;;;;;;;;;;;;;
148;"Kaiserslautern";7;232164;;;;;;;;;;;;;;;;;;57376;;;;52242;;;;7315;;;;12107;;;;11430;;;;;;;;4278;;;;3080;;;;;;;;580;;;;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;7101;;;;;;;;415;;;;;;;;;;;;3031;;;;;;;;535;;;;;;;;;;;;;;;;;;;;;;;;;;
149;"Pirmasens";7;180540;;;;;;;;;;;;;;;;;;54877;;;;35108;;;;6344;;;;8172;;;;5960;;;;;;;;3061;;;;2178;;;;;;;;1313;;;;267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;5461;;;;;;;;282;;;;;;;;;;;;2046;;;;;;;;483;;;;;;;;;;;;;;;;;;;;;;;;;;
150;"Südpfalz";7;216137;;;;;;;;;;;;;;;;;;66523;;;;40537;;;;9677;;;;7538;;;;13172;;;;;;;;4091;;;;1833;;;;;;;;1233;;;;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;;;;7584;;;;;;;;349;;;;;;;;;;;;2166;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Rheinland-Pfalz";99;3092424;

151;"Stuttgart I";8;191191;;;;;;;;;;;;;;;;;;56794;;;;31766;;;;12548;;;;9432;;;;26534;;;;;;;;4338;;;;506;;;;860;;;;224;;;;528;;;;;;;;;;;;258;;;;;;;;170;;;;79;;;;;;;;103;;;;141;;;;;;;;6281;;;;136;;;;66;;;;;;;;;;;;645;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;
152;"Stuttgart II";8;183064;;;;;;;;;;;;;;;;;;52323;;;;30469;;;;8920;;;;8902;;;;18341;;;;;;;;3460;;;;799;;;;846;;;;479;;;;382;;;;;;;;;;;;367;;;;;;;;135;;;;44;;;;;;;;219;;;;153;;;;;;;;6047;;;;255;;;;84;;;;;;;;;;;;732;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;
153;"Böblingen";8;247128;;;;;;;;;;;;;;;;;;88734;;;;37808;;;;13516;;;;8234;;;;19613;;;;;;;;4133;;;;1743;;;;1331;;;;566;;;;533;;;;;;;;;;;;331;;;;;;;;613;;;;85;;;;;;;;163;;;;456;;;;;;;;9666;;;;184;;;;161;;;;;;;;;;;;1291;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;
154;"Esslingen";8;166975;;;;;;;;;;;;;;;;;;57598;;;;28205;;;;7859;;;;5862;;;;15483;;;;;;;;2871;;;;880;;;;1110;;;;873;;;;302;;;;;;;;;;;;245;;;;;;;;165;;;;18;;;;;;;;111;;;;152;;;;;;;;5835;;;;143;;;;88;;;;;;;;;;;;647;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;
155;"Nürtingen";8;205756;;;;;;;;;;;;;;;;;;72844;;;;31499;;;;10880;;;;6533;;;;18435;;;;;;;;3602;;;;1181;;;;1233;;;;1744;;;;476;;;;;;;;;;;;387;;;;;;;;370;;;;10;;;;;;;;59;;;;320;;;;;;;;7599;;;;112;;;;128;;;;;;;;;;;;915;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;;
156;"Göppingen";8;179130;;;;;;;;;;;;;;;;;;60058;;;;28435;;;;7646;;;;5569;;;;13275;;;;;;;;2629;;;;1599;;;;1000;;;;552;;;;403;;;;;;;;;;;;289;;;;;;;;240;;;;17;;;;;;;;67;;;;198;;;;;;;;8259;;;;129;;;;93;;;;;;;;;;;;530;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;;
157;"Waiblingen";8;221739;;;;;;;;;;;;;;;;;;77461;;;;34086;;;;13327;;;;7663;;;;17511;;;;;;;;3583;;;;1783;;;;1359;;;;665;;;;577;;;;;;;;;;;;640;;;;;;;;625;;;;16;;;;;;;;116;;;;399;;;;;;;;9160;;;;102;;;;104;;;;;;;;;;;;564;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;;
158;"Ludwigsburg";8;209968;;;;;;;;;;;;;;;;;;70982;;;;34338;;;;11140;;;;7594;;;;18842;;;;;;;;3567;;;;1359;;;;1102;;;;563;;;;557;;;;;;;;;;;;507;;;;;;;;334;;;;21;;;;;;;;120;;;;202;;;;;;;;8247;;;;138;;;;142;;;;;;;;;;;;1380;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;
159;"Neckar-Zaber";8;226751;;;;;;;;;;;;;;;;;;79372;;;;36849;;;;11799;;;;7271;;;;18551;;;;;;;;3810;;;;1921;;;;1350;;;;738;;;;705;;;;;;;;;;;;645;;;;;;;;474;;;;79;;;;;;;;86;;;;299;;;;;;;;9703;;;;186;;;;190;;;;;;;;;;;;1051;;;;;;;;179;;;;;;;;;;;;;;;;;;;;;;;;;;
160;"Heilbronn";8;241656;;;;;;;;;;;;;;;;;;78544;;;;37933;;;;10927;;;;8138;;;;14662;;;;;;;;3789;;;;2672;;;;1250;;;;715;;;;731;;;;;;;;;;;;544;;;;;;;;432;;;;28;;;;;;;;126;;;;308;;;;;;;;9271;;;;322;;;;261;;;;;;;;;;;;771;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;;;;;
161;"Schwäbisch Hall - Hohenlohe";8;224384;;;;;;;;;;;;;;;;;;72835;;;;31230;;;;10355;;;;7535;;;;15641;;;;;;;;3371;;;;2119;;;;1143;;;;597;;;;1188;;;;;;;;;;;;442;;;;;;;;574;;;;23;;;;;;;;81;;;;278;;;;;;;;7799;;;;94;;;;146;;;;;;;;;;;;608;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;;;;
162;"Backnang - Schwäbisch Gmünd";8;175434;;;;;;;;;;;;;;;;;;62236;;;;26198;;;;7420;;;;5454;;;;11657;;;;;;;;2761;;;;1587;;;;1011;;;;547;;;;424;;;;;;;;;;;;402;;;;;;;;514;;;;29;;;;;;;;76;;;;245;;;;;;;;7268;;;;55;;;;122;;;;;;;;;;;;433;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;;;;;
163;"Aalen - Heidenheim";8;222959;;;;;;;;;;;;;;;;;;79409;;;;35861;;;;7267;;;;7483;;;;13532;;;;;;;;3118;;;;2166;;;;1010;;;;983;;;;655;;;;;;;;;;;;450;;;;;;;;324;;;;16;;;;;;;;49;;;;282;;;;;;;;7255;;;;96;;;;161;;;;;;;;;;;;692;;;;;;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;
164;"Karlsruhe-Stadt";8;205735;;;;;;;;;;;;;;;;;;55791;;;;33785;;;;8978;;;;8933;;;;22263;;;;;;;;6009;;;;853;;;;1111;;;;352;;;;423;;;;;;;;;;;;250;;;;;;;;205;;;;34;;;;;;;;93;;;;185;;;;;;;;8334;;;;77;;;;90;;;;;;;;;;;;724;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;
165;"Karlsruhe-Land";8;209733;;;;;;;;;;;;;;;;;;73805;;;;33416;;;;9553;;;;6461;;;;15175;;;;;;;;3761;;;;1301;;;;1278;;;;730;;;;346;;;;;;;;;;;;386;;;;;;;;491;;;;16;;;;;;;;41;;;;258;;;;;;;;9473;;;;62;;;;196;;;;;;;;;;;;1205;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;;;
166;"Rastatt";8;207555;;;;;;;;;;;;;;;;;;71752;;;;30043;;;;8436;;;;6055;;;;13223;;;;;;;;2906;;;;1409;;;;1076;;;;376;;;;280;;;;;;;;;;;;380;;;;;;;;174;;;;12;;;;;;;;54;;;;329;;;;;;;;8397;;;;46;;;;121;;;;;;;;;;;;751;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;;;;;
167;"Heidelberg";8;215943;;;;;;;;;;;;;;;;;;62331;;;;38915;;;;11626;;;;9413;;;;24601;;;;;;;;4581;;;;1136;;;;1187;;;;268;;;;405;;;;;;;;;;;;289;;;;;;;;145;;;;10;;;;;;;;44;;;;188;;;;;;;;10219;;;;85;;;;76;;;;;;;;;;;;766;;;;;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;
